frame_name;actor;gender;p1;p2;p3;p4
FiftyShadesofGrey-384414.jpeg;Dakota_Johnson;F;57;551;242;366
FiftyShadesofGrey-427694.jpeg;Jamie_Dornan;M;43;464;266;241
FiftyShadesofGrey-427944.jpeg;Jamie_Dornan;M;19;439;242;216
FiftyShadesofGrey-428372.jpeg;Jamie_Dornan;M;106;554;196;464
FiftyShadesofGrey-428598.jpeg;Jamie_Dornan;M;80;545;187;438
FiftyShadesofGrey-429303.jpeg;Jamie_Dornan;M;52;617;320;349
FiftyShadesofGrey-435191.jpeg;Jamie_Dornan;M;0;588;217;365
FiftyShadesofGrey-48803.jpeg;Dakota_Johnson;F;98;428;284;242
FiftyShadesofGrey-50603.jpeg;Jamie_Dornan;M;57;428;242;242
FiftyShadesofGrey-51071.jpeg;Dakota_Johnson;F;57;655;242;469
FiftyShadesofGrey-53521.jpeg;Jamie_Dornan;M;43;464;266;241
FiftyShadesofGrey-54702.jpeg;Jamie_Dornan;M;68;689;175;581
FiftyShadesofGrey-54977.jpeg;Jamie_Dornan;M;66;683;156;593
FiftyShadesofGrey-55485.jpeg;Jamie_Dornan;M;68;677;175;569
FiftyShadesofGrey-56974.jpeg;Jamie_Dornan;M;43;637;266;414
FiftyShadesofGrey-59137.jpeg;Jamie_Dornan;M;81;425;236;270
FiftyShadesofGrey-65338.jpeg;Jamie_Dornan;M;43;439;266;216
FiftyShadesofGrey-70220.jpeg;Jamie_Dornan;M;43;563;266;340
FiftyShadesofGrey-70561.jpeg;Jamie_Dornan;M;23;587;290;319
FrancesHa-100238.jpeg;Greta_Gerwig;F;56;497;163;390
FrancesHa-100402.jpeg;Greta_Gerwig;F;56;454;146;364
FrancesHa-100573.jpeg;Greta_Gerwig;F;56;485;163;378
FrancesHa-100642.jpeg;Greta_Gerwig;F;66;494;156;404
FrancesHa-100784.jpeg;Greta_Gerwig;F;66;474;156;384
FrancesHa-103820.jpeg;Mickey_Sumner;F;156;467;199;424
FrancesHa-11020.jpeg;Greta_Gerwig;F;59;425;122;363
FrancesHa-112144.jpeg;Greta_Gerwig;F;72;361;146;287
FrancesHa-113590.jpeg;Michael_Zegen;M;86;335;176;245
FrancesHa-113766.jpeg;Patrick_Heusinger;M;55;278;130;204
FrancesHa-117064.jpeg;Greta_Gerwig;F;81;339;236;184
FrancesHa-117128.jpeg;Mickey_Sumner;F;82;511;211;382
FrancesHa-13132.jpeg;Greta_Gerwig;F;63;419;138;345
FrancesHa-14632.jpeg;Greta_Gerwig;F;63;386;138;312
FrancesHa-14632.jpeg;Mickey_Sumner;F;86;305;176;215
FrancesHa-19471.jpeg;Greta_Gerwig;F;34;337;70;301
FrancesHa-20549.jpeg;Mickey_Sumner;F;63;287;138;212
FrancesHa-21325.jpeg;Greta_Gerwig;F;68;533;175;426
FrancesHa-21825.jpeg;Greta_Gerwig;F;104;533;211;426
FrancesHa-24623.jpeg;Greta_Gerwig;F;96;425;225;296
FrancesHa-24718.jpeg;Greta_Gerwig;F;116;442;270;287
FrancesHa-24859.jpeg;Greta_Gerwig;F;133;425;288;270
FrancesHa-25216.jpeg;Adam_Driver;M;98;390;253;236
FrancesHa-25258.jpeg;Greta_Gerwig;F;82;468;211;339
FrancesHa-30085.jpeg;Adam_Driver;M;55;377;107;325
FrancesHa-30514.jpeg;Greta_Gerwig;F;73;280;135;218
FrancesHa-30705.jpeg;Michael_Zegen;M;108;190;170;128
FrancesHa-30705.jpeg;Greta_Gerwig;F;108;543;170;481
FrancesHa-35332.jpeg;Michael_Zegen;M;101;176;163;114
FrancesHa-35556.jpeg;Michael_Zegen;M;87;170;149;107
FrancesHa-35683.jpeg;Greta_Gerwig;F;72;511;146;436
FrancesHa-35796.jpeg;Michael_Zegen;M;87;190;149;128
FrancesHa-35887.jpeg;Michael_Zegen;M;80;163;142;100
FrancesHa-35887.jpeg;Greta_Gerwig;F;63;511;138;436
FrancesHa-36017.jpeg;Adam_Driver;M;36;126;126;36
FrancesHa-36047.jpeg;Michael_Zegen;M;101;163;163;100
FrancesHa-36211.jpeg;Michael_Zegen;M;80;170;142;107
FrancesHa-36332.jpeg;Michael_Zegen;M;108;190;170;128
FrancesHa-36450.jpeg;Greta_Gerwig;F;88;494;163;419
FrancesHa-36598.jpeg;Michael_Zegen;M;94;176;156;114
FrancesHa-36712.jpeg;Michael_Zegen;M;88;187;163;113
FrancesHa-36775.jpeg;Michael_Zegen;M;94;176;156;114
FrancesHa-37636.jpeg;Michael_Zegen;M;46;363;108;301
FrancesHa-37876.jpeg;Greta_Gerwig;F;63;386;138;312
FrancesHa-38521.jpeg;Greta_Gerwig;F;92;438;199;330
FrancesHa-39021.jpeg;Greta_Gerwig;F;68;462;175;354
FrancesHa-39136.jpeg;Michael_Zegen;M;80;426;187;318
FrancesHa-39299.jpeg;Michael_Zegen;M;86;394;176;305
FrancesHa-40171.jpeg;Greta_Gerwig;F;63;378;138;303
FrancesHa-40386.jpeg;Greta_Gerwig;F;63;370;138;295
