frame_name;position;guessed_gender;;;
50_50 (2011)-121711.jpeg;[159.50261 112.14795 170.26978 126.48644];M;;;
50_50 (2011)-121711.jpeg;[436.344   159.78891 451.87262 186.32533];F;;;
50_50 (2011)-121711.jpeg;[197.79626 127.96855 207.17726 139.46999];F;;;
50_50 (2011)-121711.jpeg;[400.4469  156.66832 410.2143  174.46307];F;;;
50_50 (2011)-121711.jpeg;[427.3401  124.19211 436.18353 136.77039];M;;;
50_50 (2011)-121805.jpeg;[212.22493 100.87271 265.28586 160.09344];F;;;
50_50 (2011)-121805.jpeg;[436.98495  30.40419 498.22244 123.97775];M;;;
50_50 (2011)-121805.jpeg;[ 90.51012  75.17239 161.54944 210.44417];M;;;
50_50 (2011)-121805.jpeg;[156.93614 168.83424 167.8504  184.88617];M;;;
50_50 (2011)-121905.jpeg;[422.5312    36.287933 486.71826  127.40843 ];F;;;
50_50 (2011)-121905.jpeg;[242.0445   74.54946 294.93787 142.89182];F;;;
50_50 (2011)-121905.jpeg;[ 99.047195  79.61319  176.02109  222.56815 ];M;;;
50_50 (2011)-121905.jpeg;[177.68944 169.31082 191.71373 186.4119 ];M;;;
50_50 (2011)-122155.jpeg;[201.2372    82.434975 258.9854   156.82123 ];F;;;
50_50 (2011)-122155.jpeg;[127.45281  86.24982 201.08478 216.70514];M;;;
50_50 (2011)-122155.jpeg;[471.8174   88.47996 499.11526 141.29672];M;;;
50_50 (2011)-122302.jpeg;[152.06757   62.505074 195.17404  124.43059 ];M;;;
50_50 (2011)-122302.jpeg;[323.73257  127.274155 369.05905  185.92313 ];M;;;
50_50 (2011)-122302.jpeg;[105.708664  60.532715 148.20311  114.950226];M;;;
50_50 (2011)-122302.jpeg;[466.09653  82.73341 499.99356 136.92722];F;;;
50_50 (2011)-122802.jpeg;[123.78398   56.874622 168.6601   126.04487 ];M;;;
50_50 (2011)-122802.jpeg;[275.49908  123.204704 319.71234  179.1049  ];M;;;
50_50 (2011)-12282.jpeg;[209.57597  42.90617 279.3449  142.4543 ];M;;;
50_50 (2011)-122827.jpeg;[264.87585   59.811913 422.62537  261.36343 ];M;;;
50_50 (2011)-122827.jpeg;[ 87.084816 -41.989624 211.13315  234.00427 ];F;;;
50_50 (2011)-123272.jpeg;[248.22943  44.94242 374.04758 226.73291];M;;;
50_50 (2011)-123272.jpeg;[376.32532 151.2654  534.4776  366.75317];F;;;
50_50 (2011)-123522.jpeg;[308.19803 125.34412 353.96964 187.3544 ];M;;;
50_50 (2011)-123522.jpeg;[450.24115  64.28735 486.09192 110.6382 ];M;;;
50_50 (2011)-123522.jpeg;[149.10464   57.59523  184.12308  116.559044];M;;;
50_50 (2011)-123966.jpeg;[245.47833 157.65186 397.05377 362.17303];F;;;
50_50 (2011)-123966.jpeg;[463.29077 110.17427 622.34924 332.09375];F;;;
50_50 (2011)-12399.jpeg;[193.53532  38.66882 262.1689  133.70935];M;;;
50_50 (2011)-124125.jpeg;[211.12839   99.867966 329.91833  213.31738 ];M;;;
50_50 (2011)-124265.jpeg;[202.84424  40.59606 355.43573 247.11899];F;;;
50_50 (2011)-124698.jpeg;[427.53033   34.214344 493.83917  115.01535 ];M;;;
50_50 (2011)-124698.jpeg;[163.22182  70.55334 180.88107  92.52504];M;;;
50_50 (2011)-124698.jpeg;[116.427605  74.04585  132.69917   93.79823 ];F;;;
50_50 (2011)-12485.jpeg;[304.01743  66.21381 432.40637 263.33105];M;;;
50_50 (2011)-124886.jpeg;[286.87714 189.3284  360.92963 275.8385 ];M;;;
50_50 (2011)-125083.jpeg;[200.6644  101.43036 362.83044 256.76022];M;;;
50_50 (2011)-125333.jpeg;[208.29556   62.834736 284.59436  148.54112 ];F;;;
50_50 (2011)-125583.jpeg;[218.6378  145.0253  461.356   356.32098];M;;;
50_50 (2011)-125919.jpeg;[573.29803     6.5425434 614.617      67.6772   ];M;;;
50_50 (2011)-125919.jpeg;[130.09299 -45.62652 263.1603  119.46577];F;;;
50_50 (2011)-125919.jpeg;[384.0425    33.946632 430.54453  140.22054 ];M;;;
50_50 (2011)-12595.jpeg;[145.72678   50.356453 303.3064   270.415   ];M;;;
50_50 (2011)-126444.jpeg;[213.50859  94.69601 457.7527  318.99756];M;;;
50_50 (2011)-126554.jpeg;[204.23082 139.76326 234.14082 181.29039];M;;;
50_50 (2011)-126554.jpeg;[484.9786  203.7311  498.5606  224.04916];M;;;
50_50 (2011)-126554.jpeg;[523.19653 223.03781 532.3644  238.55367];M;;;
50_50 (2011)-126804.jpeg;[297.1973    51.936882 336.97308  125.699974];M;;;
50_50 (2011)-126804.jpeg;[373.28723 240.97089 387.68842 258.0427 ];M;;;
50_50 (2011)-126804.jpeg;[385.05273 282.71494 398.07645 298.78195];M;;;
50_50 (2011)-12704.jpeg;[370.51685   64.80896  407.674    119.967026];M;;;
50_50 (2011)-127049.jpeg;[249.84543   49.873863 377.4775   205.0672  ];M;;;
50_50 (2011)-127248.jpeg;[238.21097   95.93794  263.32413  124.897316];M;;;
50_50 (2011)-127248.jpeg;[104.75838   28.8158   121.09357   52.576958];M;;;
50_50 (2011)-127248.jpeg;[516.0338   68.40488 552.432   115.69652];M;;;
50_50 (2011)-127248.jpeg;[396.07346  87.29201 422.91733 124.53873];M;;;
50_50 (2011)-127248.jpeg;[32.60259  58.615574 44.106754 77.43775 ];F;;;
50_50 (2011)-127577.jpeg;[477.98212 115.85016 523.2508  170.26897];F;;;
50_50 (2011)-127577.jpeg;[100.37978  119.473526 146.57501  172.35687 ];M;;;
